RANGE                                 SIZE   STATE REMOVABLE ZONES NODE BLOCK
0x0000000000000000-0x000000003fffffff   1G  online        no     -    0     0
0x0000000040000000-0x000000007fffffff   1G  online       yes     -    0     1
0x0000000080000000-0x00000000bfffffff   1G  online        no     -    0     2
0x0000000100000000-0x000000013fffffff   1G  online        no     -    0     4
0x0000000140000000-0x000000017fffffff   1G  online        no     -    0     5
0x0000000180000000-0x00000001bfffffff   1G  online        no     -    0     6
0x00000001c0000000-0x00000001ffffffff   1G  online        no     -    0     7
0x0000000200000000-0x000000023fffffff   1G  online        no     -    0     8
0x0000000240000000-0x000000027fffffff   1G  online        no     -    0     9
0x0000000280000000-0x00000002bfffffff   1G  online        no     -    0    10
0x00000002c0000000-0x00000002ffffffff   1G  online        no     -    0    11
0x0000000300000000-0x000000033fffffff   1G  online        no     -    0    12
0x0000000340000000-0x000000037fffffff   1G  online        no     -    0    13
0x0000000380000000-0x00000003bfffffff   1G  online        no     -    0    14
0x00000003c0000000-0x00000003ffffffff   1G  online        no     -    0    15
0x0000000400000000-0x000000043fffffff   1G  online        no     -    0    16
0x0000000440000000-0x000000047fffffff   1G  online        no     -    0    17
0x0000000480000000-0x00000004bfffffff   1G  online        no     -    0    18
0x00000004c0000000-0x00000004ffffffff   1G  online        no     -    0    19
0x0000000500000000-0x000000053fffffff   1G  online        no     -    0    20
0x0000000540000000-0x000000057fffffff   1G  online        no     -    0    21
0x0000000580000000-0x00000005bfffffff   1G  online       yes     -    0    22
0x00000005c0000000-0x00000005ffffffff   1G  online       yes     -    0    23
0x0000000600000000-0x000000063fffffff   1G  online       yes     -    0    24
0x0000000640000000-0x000000067fffffff   1G  online       yes     -    0    25
0x0000000680000000-0x00000006bfffffff   1G  online       yes     -    0    26
0x00000006c0000000-0x00000006ffffffff   1G  online       yes     -    0    27
0x0000000700000000-0x000000073fffffff   1G  online       yes     -    0    28
0x0000000740000000-0x000000077fffffff   1G  online       yes     -    0    29
0x0000000780000000-0x00000007bfffffff   1G  online        no     -    0    30
0x00000007c0000000-0x00000007ffffffff   1G  online        no     -    0    31
0x0000000800000000-0x000000083fffffff   1G  online        no     -    1    32
0x0000000840000000-0x000000087fffffff   1G  online        no     -    1    33
0x0000000880000000-0x00000008bfffffff   1G  online        no     -    1    34
0x00000008c0000000-0x00000008ffffffff   1G  online        no     -    1    35
0x0000000900000000-0x000000093fffffff   1G  online        no     -    1    36
0x0000000940000000-0x000000097fffffff   1G  online        no     -    1    37
0x0000000980000000-0x00000009bfffffff   1G  online        no     -    1    38
0x00000009c0000000-0x00000009ffffffff   1G  online        no     -    1    39
0x0000000a00000000-0x0000000a3fffffff   1G  online        no     -    1    40
0x0000000a40000000-0x0000000a7fffffff   1G  online        no     -    1    41
0x0000000a80000000-0x0000000abfffffff   1G  online        no     -    1    42
0x0000000ac0000000-0x0000000affffffff   1G  online        no     -    1    43
0x0000000b00000000-0x0000000b3fffffff   1G  online        no     -    1    44
0x0000000b40000000-0x0000000b7fffffff   1G  online        no     -    1    45
0x0000000b80000000-0x0000000bbfffffff   1G  online        no     -    1    46
0x0000000bc0000000-0x0000000bffffffff   1G  online        no     -    1    47
0x0000000c00000000-0x0000000c3fffffff   1G  online        no     -    1    48
0x0000000c40000000-0x0000000c7fffffff   1G  online        no     -    1    49
0x0000000c80000000-0x0000000cbfffffff   1G  online        no     -    1    50
0x0000000cc0000000-0x0000000cffffffff   1G  online        no     -    1    51
0x0000000d00000000-0x0000000d3fffffff   1G  online       yes     -    1    52
